Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"leds 200 pack","fo lights",1,0.99,"https://www.aliexpress.com/item/1005005634821961.html?spm=a2g0o.productlist.main.1.62e031f8KIq3fX&algo_pvid=e44b5a7c-2a0b-4f1c-88f1-c361ff9a790c&algo_exp_id=e44b5a7c-2a0b-4f1c-88f1-c361ff9a790c-0&pdp_ext_f=%7B%22order%22%3A%221509%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.63%210.99%21%21%2165.31%216.69%21%402101e80f17767298899571692e018c%2112000033829717788%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=Mgm9GSmPmAsB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005634821961%7C_p_origin_prod%3A","Ali express"
"100 ohm resistor","so led dont explode",20,0.99,"https://www.aliexpress.com/item/1005011767578775.html?spm=a2g0o.productlist.main.4.730f2180T2PxcI&aem_p4p_detail=20260420170207960599008190850002510507&algo_pvid=adaaadbb-82d0-41ef-99db-d2e7fab36f45&algo_exp_id=adaaadbb-82d0-41ef-99db-d2e7fab36f45-3&pdp_ext_f=%7B%22order%22%3A%22291%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.27%210.99%21%21%2115.42%216.74%21%40210311a017767297269087603e99cd%2112000056498243050%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=Gnwk2xyWiiBt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011767578775%7C_p_origin_prod%3A&search_p4p_id=20260420170207960599008190850002510507_1","ali express"
"ec11 rotary encoder","to rotary encode and act as a knob",1,0.99,"https://www.aliexpress.com/item/1005007644083514.html?spm=a2g0o.productlist.main.1.3624286f1sM9NP&algo_pvid=cc7b006b-38e9-452d-9a69-8516b33908d8&algo_exp_id=cc7b006b-38e9-452d-9a69-8516b33908d8-0&pdp_ext_f=%7B%22order%22%3A%222768%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.17%210.99%21%21%211.17%210.99%21%40210311a017767295759822388e99ce%2112000041630839415%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=Nx3W1n9aBMlm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007644083514%7C_p_origin_prod%3A","ali express"
"Xiao esp32 s3","microcontroller",1,14.11,"https://www.aliexpress.com/item/1005007437214568.html?spm=a2g0o.productlist.main.9.1b823fc9UTre3r&algo_pvid=b1f963bd-0d49-4943-8d2f-2f43d8367fe8&algo_exp_id=b1f963bd-0d49-4943-8d2f-2f43d8367fe8-8&pdp_ext_f=%7B%22order%22%3A%2239%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2114.11%2114.11%21%21%2195.70%2195.70%21%402101e80f17767293201301004e0187%2112000040753490813%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=NxnPvcEwhNcO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007437214568%7C_p_origin_prod%3A","Ali express"
"lipo battery","the battery of the thing so I can make it wireless",1,1.50,"https://www.aliexpress.com/item/1005009240348340.html?spm=a2g0o.productlist.main.5.714b193bY0YTTY&algo_pvid=a573cc3b-1634-4cda-8c05-e6a4fd07404b&algo_exp_id=a573cc3b-1634-4cda-8c05-e6a4fd07404b-4&pdp_ext_f=%7B%22order%22%3A%22716%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2115.55%211.43%21%21%2115.55%211.43%21%402101c59117767303230154473ee6df%2112000048437368273%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=MOPpWXzbwn9I&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009240348340%7C_p_origin_prod%3A","ali express"
"Case","to hold everything together",1,6.50,"","Printing legion"
"PCB","To hold the components together",1,5.50,"","JLCPCB"
